age,region,urban_rural,education_level,employment_status,monthly_income_tzs,family_size,distance_to_hospital_km,distance_to_school_km,access_to_clean_water,electricity_access,housing_type,years_of_education,number_of_rooms,health_insurance,health_score,education_score,housing_score,quality_of_life_score
42,Mwanza,Urban,University,Government,690611,5,6.61,2.89,1,1,Brick/Iron Sheet,13,4,0,100.0,94.57,100.0,98.1
56,Mwanza,Urban,College,Self-employed,532206,8,3.79,7.14,1,1,Brick/Iron Sheet,8,2,1,100.0,76.44,82.18,86.41
50,Dodoma,Rural,No Education,Private Sector,837902,5,15.56,2.73,1,0,Brick/Iron Sheet,3,1,1,87.52,11.02,89.62,61.37
18,Dodoma,Rural,Secondary,Private Sector,1627553,2,11.45,14.37,1,0,Brick/Iron Sheet,6,5,0,100.0,40.59,100.0,79.21
44,Mtwara,Rural,College,Self-employed,2888956,6,21.96,11.64,1,1,Concrete/Modern,7,2,0,100.0,100.0,100.0,100.0
69,Mbeya,Rural,Secondary,Student,528556,9,11.79,10.28,1,1,Brick/Iron Sheet,7,1,0,80.07,42.24,75.72,65.52
30,Dodoma,Urban,College,Unemployed,1778083,3,2.79,0.37,1,0,Concrete/Modern,14,1,0,100.0,97.65,100.0,99.18
58,Mtwara,Rural,University,Self-employed,2532620,1,26.83,9.63,1,1,Concrete/Modern,15,2,0,100.0,100.0,100.0,100.0
20,Zanzibar,Urban,Primary,Self-employed,1950697,1,1.11,7.61,1,1,Concrete/Modern,8,2,0,100.0,47.68,100.0,81.69
56,Morogoro,Rural,Primary,Self-employed,1782620,3,3.12,0.55,0,0,Brick/Iron Sheet,11,3,0,95.04,45.56,100.0,79.21
23,Morogoro,Rural,University,Private Sector,580350,5,7.34,0.57,1,1,Brick/Iron Sheet,15,5,1,100.0,96.59,85.33,94.41
25,Zanzibar,Rural,Secondary,Private Sector,596232,3,8.34,0.53,1,0,Mud/Thatch,3,4,1,100.0,66.64,67.92,78.7
44,Tanga,Urban,No Education,Private Sector,1787023,9,0.15,0.06,1,1,Brick/Iron Sheet,4,3,0,100.0,40.16,100.0,79.06
26,Mtwara,Rural,No Education,Private Sector,1849182,8,15.17,3.98,1,1,Brick/Iron Sheet,7,1,0,100.0,17.41,100.0,71.09
54,Mtwara,Rural,Secondary,Unemployed,2728973,3,4.49,18.13,1,1,Brick/Iron Sheet,0,5,0,100.0,58.04,100.0,85.31
50,Zanzibar,Rural,University,Self-employed,2146719,9,5.22,2.89,0,0,Mud/Thatch,5,5,0,100.0,100.0,70.02,91.01
68,Arusha,Urban,College,Self-employed,1526548,6,16.57,3.89,0,0,Concrete/Modern,14,2,0,78.94,90.63,100.0,89.35
59,Kilimanjaro,Urban,Secondary,Self-employed,1946780,7,4.77,17.21,0,1,Concrete/Modern,3,5,0,97.27,56.51,100.0,83.82
61,Dar es Salaam,Rural,No Education,Private Sector,975817,4,0.48,1.47,0,1,Brick/Iron Sheet,10,5,0,78.99,9.29,100.0,60.9
41,Zanzibar,Rural,Primary,Unemployed,2124611,4,1.94,9.78,1,1,Brick/Iron Sheet,4,1,1,100.0,52.2,100.0,83.27
32,Dodoma,Rural,College,Self-employed,350231,2,31.21,3.95,1,1,Brick/Iron Sheet,17,3,1,72.44,86.71,100.0,85.7
49,Dodoma,Urban,Primary,Self-employed,1161516,5,0.73,4.21,1,1,Brick/Iron Sheet,14,5,1,100.0,39.35,100.0,78.77
49,Mbeya,Rural,Primary,Government,480171,8,4.38,2.1,1,0,Brick/Iron Sheet,17,2,0,92.67,30.76,69.74,64.12
41,Zanzibar,Urban,No Education,Government,641220,7,7.0,4.12,0,0,Brick/Iron Sheet,12,3,0,74.45,1.61,79.02,50.33
58,Mbeya,Rural,Secondary,Private Sector,2647195,7,6.8,0.38,0,0,Brick/Iron Sheet,4,2,0,94.57,90.38,84.22,90.0
69,Zanzibar,Rural,University,Government,1078935,6,0.04,7.23,1,1,Brick/Iron Sheet,0,5,1,100.0,100.0,94.56,98.37
66,Mtwara,Urban,Primary,Private Sector,1173224,3,6.95,1.68,0,0,Brick/Iron Sheet,17,3,0,67.24,35.92,81.41,60.53
66,Dar es Salaam,Rural,Primary,Private Sector,1130451,5,4.84,10.93,0,0,Brick/Iron Sheet,13,5,0,84.66,16.96,97.67,64.87
69,Mtwara,Urban,Secondary,Unemployed,2230118,1,35.78,2.29,1,1,Concrete/Modern,4,1,0,100.0,79.41,100.0,92.79
29,Kilimanjaro,Urban,University,Private Sector,520993,7,1.73,0.77,0,0,Mud/Thatch,5,3,0,83.03,92.05,48.0,75.68
56,Morogoro,Rural,No Education,Private Sector,2360791,9,4.37,5.95,1,1,Brick/Iron Sheet,15,2,0,100.0,7.47,100.0,67.62
19,Mwanza,Rural,Primary,Private Sector,346331,1,5.44,0.9,0,0,Brick/Iron Sheet,11,1,0,91.12,43.4,79.02,70.79
20,Zanzibar,Rural,Primary,Private Sector,1191174,2,4.95,7.01,0,0,Mud/Thatch,17,4,0,97.05,38.24,77.37,70.56
66,Kilimanjaro,Rural,College,Self-employed,290271,3,10.96,17.23,0,1,Brick/Iron Sheet,1,2,0,51.38,43.79,83.06,58.23
54,Morogoro,Urban,Primary,Private Sector,507014,3,2.43,7.56,0,0,Brick/Iron Sheet,12,5,0,78.52,25.47,87.43,62.63
66,Tanga,Urban,No Education,Government,947516,8,2.5,0.11,1,1,Brick/Iron Sheet,16,2,0,93.88,11.29,85.43,62.44
34,Dar es Salaam,Urban,Secondary,Self-employed,2896749,7,13.06,4.58,1,1,Brick/Iron Sheet,16,4,1,100.0,83.13,100.0,94.1
66,Mbeya,Urban,Secondary,Private Sector,2852690,6,6.94,5.94,1,0,Brick/Iron Sheet,15,2,0,100.0,59.72,100.0,85.9
19,Mbeya,Urban,No Education,Self-employed,2445156,4,5.36,8.73,1,0,Brick/Iron Sheet,17,1,0,100.0,11.16,100.0,68.91
19,Mtwara,Rural,College,Private Sector,1103510,9,1.85,0.29,1,1,Mud/Thatch,7,2,0,100.0,96.22,70.54,89.84
45,Dodoma,Urban,Primary,Private Sector,117118,1,2.08,3.27,1,0,Concrete/Modern,2,3,1,100.0,16.85,100.0,70.9
40,Morogoro,Urban,Secondary,Unemployed,1171192,2,0.11,3.83,0,0,Mud/Thatch,16,4,0,100.0,78.95,71.4,84.05
54,Tanga,Rural,Primary,Private Sector,2329022,4,0.96,0.93,1,1,Concrete/Modern,17,2,0,100.0,63.23,100.0,87.13
49,Kilimanjaro,Rural,Secondary,Self-employed,1960371,3,8.14,1.95,1,1,Concrete/Modern,5,4,0,99.92,73.15,100.0,90.57
50,Dar es Salaam,Urban,Primary,Private Sector,102795,1,22.24,2.9,1,1,Brick/Iron Sheet,7,1,0,69.58,39.86,94.16,66.55
18,Morogoro,Rural,College,Self-employed,1671480,5,3.39,8.96,1,1,Concrete/Modern,12,3,0,100.0,84.56,100.0,94.6
36,Tanga,Rural,Secondary,Private Sector,2030873,7,3.97,13.25,0,1,Concrete/Modern,7,5,0,100.0,73.87,100.0,90.85
19,Mwanza,Urban,Secondary,Unemployed,887163,2,1.23,4.95,0,0,Concrete/Modern,5,2,1,100.0,49.9,100.0,82.47
61,Zanzibar,Rural,Secondary,Private Sector,2356246,5,4.92,2.51,1,1,Brick/Iron Sheet,14,1,1,100.0,86.15,100.0,95.15
43,Mbeya,Rural,Secondary,Self-employed,2460901,6,0.38,1.47,0,1,Mud/Thatch,9,4,1,100.0,77.68,74.4,84.51
49,Kilimanjaro,Rural,No Education,Government,2961753,7,24.96,20.12,0,0,Concrete/Modern,16,4,0,100.0,0.0,100.0,65.0
23,Mbeya,Rural,Primary,Government,2360554,1,11.18,20.38,0,1,Mud/Thatch,0,1,1,100.0,12.58,86.85,65.46
49,Kilimanjaro,Rural,University,Student,519007,7,46.83,12.95,0,0,Mud/Thatch,6,2,0,70.19,70.89,45.71,63.09
21,Mtwara,Rural,No Education,Private Sector,1501156,4,21.44,7.7,0,0,Brick/Iron Sheet,12,5,0,77.61,0.0,83.3,52.15
28,Dodoma,Rural,Secondary,Private Sector,323034,8,6.41,1.97,1,1,Brick/Iron Sheet,2,2,1,99.03,54.35,89.35,80.49
34,Kilimanjaro,Rural,University,Self-employed,2706546,4,7.33,8.49,1,1,Brick/Iron Sheet,14,3,0,100.0,100.0,100.0,100.0
55,Mbeya,Rural,No Education,Self-employed,1772558,6,2.11,2.63,1,0,Brick/Iron Sheet,4,2,0,100.0,0.0,100.0,65.0
41,Mtwara,Rural,Secondary,Self-employed,2741213,9,6.2,1.98,0,0,Concrete/Modern,10,3,0,100.0,86.84,100.0,95.39
22,Kilimanjaro,Rural,Primary,Private Sector,890671,5,23.33,6.83,0,1,Mud/Thatch,17,4,0,95.69,41.71,69.53,68.95
69,Mwanza,Urban,Secondary,Government,2480159,4,0.52,0.42,1,1,Concrete/Modern,2,3,1,100.0,82.07,100.0,93.72
51,Dodoma,Urban,No Education,Unemployed,413559,8,19.92,0.25,1,1,Concrete/Modern,5,5,0,82.38,8.08,100.0,61.66
23,Kilimanjaro,Rural,No Education,Government,168968,9,4.17,2.97,1,1,Mud/Thatch,2,1,0,94.2,0.0,55.66,49.67
39,Mtwara,Urban,Secondary,Private Sector,593891,4,22.98,2.95,1,0,Brick/Iron Sheet,4,3,0,86.56,58.22,78.99,74.37
28,Morogoro,Urban,College,Private Sector,684718,3,28.28,11.3,0,0,Concrete/Modern,8,2,1,72.84,49.45,100.0,72.8
65,Arusha,Urban,Secondary,Unemployed,1398648,8,11.11,0.67,1,1,Brick/Iron Sheet,12,3,0,100.0,68.96,100.0,89.14
33,Tanga,Urban,Secondary,Unemployed,2198667,5,10.92,0.66,1,1,Concrete/Modern,5,4,0,100.0,97.69,100.0,99.19
50,Arusha,Rural,No Education,Private Sector,2294358,2,6.03,0.8,0,0,Brick/Iron Sheet,10,3,1,100.0,24.34,100.0,73.52
26,Arusha,Rural,Secondary,Private Sector,2442434,9,18.05,0.15,1,0,Brick/Iron Sheet,13,5,0,100.0,82.27,100.0,93.79
23,Dar es Salaam,Rural,Primary,Self-employed,1908566,3,32.6,0.37,1,1,Mud/Thatch,5,3,0,96.06,37.36,89.83,73.65
33,Mwanza,Rural,College,Private Sector,2604973,2,14.92,5.39,0,1,Brick/Iron Sheet,5,5,1,100.0,100.0,100.0,100.0
46,Morogoro,Rural,College,Government,942672,1,9.73,2.82,0,1,Mud/Thatch,16,2,0,80.66,82.9,77.98,80.64
20,Zanzibar,Urban,Secondary,Government,2202738,8,9.33,7.21,0,0,Brick/Iron Sheet,10,4,1,100.0,61.31,100.0,86.46
37,Kilimanjaro,Rural,University,Government,1118725,3,18.94,24.53,1,1,Concrete/Modern,14,1,0,100.0,65.29,100.0,87.85
53,Tanga,Urban,No Education,Self-employed,869565,7,7.79,5.38,0,1,Brick/Iron Sheet,8,2,1,82.98,9.71,88.79,59.08
36,Dodoma,Rural,Secondary,Self-employed,1704050,1,16.29,0.26,0,1,Concrete/Modern,16,2,1,100.0,81.08,100.0,93.38
43,Morogoro,Rural,Primary,Private Sector,2742151,1,7.11,0.55,0,1,Brick/Iron Sheet,6,1,0,100.0,68.51,100.0,88.98
20,Mbeya,Urban,College,Self-employed,2217191,9,0.64,10.64,1,1,Brick/Iron Sheet,6,3,0,100.0,100.0,100.0,100.0
36,Zanzibar,Rural,Primary,Unemployed,1709425,8,4.84,3.75,1,1,Brick/Iron Sheet,0,3,1,100.0,40.56,100.0,79.19
37,Dar es Salaam,Rural,Secondary,Self-employed,2403707,3,5.88,8.71,1,1,Concrete/Modern,7,3,0,100.0,75.63,100.0,91.47
49,Dar es Salaam,Rural,College,Self-employed,1639663,6,1.53,9.71,0,1,Brick/Iron Sheet,4,4,0,100.0,84.41,100.0,94.54
24,Morogoro,Urban,No Education,Self-employed,1098899,3,1.08,13.13,1,1,Mud/Thatch,7,2,0,100.0,0.0,88.27,61.48
69,Mtwara,Rural,Primary,Self-employed,1368306,4,7.67,14.96,1,1,Concrete/Modern,16,5,1,94.79,16.5,100.0,68.95
58,Arusha,Rural,Secondary,Self-employed,2198729,1,0.89,4.05,1,1,Brick/Iron Sheet,11,1,1,100.0,79.6,100.0,92.86
50,Mbeya,Urban,Primary,Unemployed,207792,5,3.61,2.09,1,1,Mud/Thatch,14,2,0,66.14,33.49,76.26,57.75
57,Dar es Salaam,Urban,Primary,Private Sector,1920844,1,13.65,16.33,1,1,Brick/Iron Sheet,3,3,0,100.0,29.27,100.0,75.24
56,Tanga,Rural,Primary,Private Sector,1387116,1,33.36,3.96,1,1,Concrete/Modern,11,1,1,95.13,42.5,100.0,78.17
35,Dar es Salaam,Urban,No Education,Private Sector,1051302,7,12.65,0.33,0,1,Brick/Iron Sheet,12,5,1,88.38,8.49,94.34,62.21
57,Dodoma,Rural,College,Unemployed,110785,6,49.1,5.15,1,1,Brick/Iron Sheet,13,2,0,66.03,95.36,85.65,82.18
18,Kilimanjaro,Rural,Secondary,Self-employed,1220803,2,11.98,4.43,1,1,Concrete/Modern,4,2,1,100.0,72.42,100.0,90.35
28,Dar es Salaam,Rural,No Education,Private Sector,1005112,2,3.48,11.31,1,1,Concrete/Modern,15,4,1,99.54,0.0,100.0,64.84
45,Dodoma,Urban,Primary,Private Sector,250653,7,11.15,5.29,1,0,Brick/Iron Sheet,6,2,0,71.83,27.78,82.6,59.65
42,Morogoro,Rural,Primary,Self-employed,2514488,1,12.11,2.15,1,1,Mud/Thatch,14,2,1,100.0,50.12,100.0,82.54
67,Morogoro,Urban,Primary,Self-employed,363606,2,4.65,16.94,0,0,Brick/Iron Sheet,12,5,0,54.81,8.44,98.23,51.61
40,Zanzibar,Urban,Primary,Government,2588144,8,0.18,8.09,0,0,Brick/Iron Sheet,15,5,0,100.0,46.96,100.0,81.43
48,Dar es Salaam,Rural,Primary,Self-employed,1868109,6,12.15,4.98,1,1,Concrete/Modern,11,1,0,100.0,50.62,100.0,82.72
47,Tanga,Rural,Primary,Self-employed,1033015,2,0.22,1.73,1,0,Brick/Iron Sheet,6,3,1,100.0,27.67,100.0,74.69
59,Dar es Salaam,Rural,Secondary,Private Sector,1848350,7,9.97,2.34,0,0,Brick/Iron Sheet,15,5,1,94.9,99.21,78.89,91.6
52,Tanga,Rural,Primary,Self-employed,1745437,4,1.79,5.54,0,0,Mud/Thatch,12,1,0,100.0,48.59,52.74,67.83
24,Mwanza,Urban,Secondary,Self-employed,2421889,2,8.34,0.37,1,0,Brick/Iron Sheet,2,2,0,100.0,99.92,100.0,99.97
33,Zanzibar,Urban,Secondary,Self-employed,994235,6,7.01,1.48,1,1,Mud/Thatch,14,1,0,100.0,70.67,71.43,81.16
43,Mwanza,Rural,Secondary,Private Sector,2841122,9,0.14,6.26,1,1,Mud/Thatch,2,1,1,100.0,86.0,84.82,90.55
65,Dar es Salaam,Rural,Secondary,Self-employed,1686250,9,4.51,3.27,1,1,Mud/Thatch,6,1,1,100.0,77.25,72.11,83.67
69,Zanzibar,Rural,Secondary,Unemployed,486213,8,9.19,2.57,1,0,Brick/Iron Sheet,17,1,0,100.0,56.62,93.17,82.77
66,Mwanza,Urban,College,Self-employed,1203036,3,18.88,0.82,1,0,Brick/Iron Sheet,13,5,0,71.9,96.86,100.0,89.06
19,Arusha,Rural,Secondary,Government,2596589,3,21.95,2.92,1,0,Brick/Iron Sheet,17,3,0,100.0,74.52,100.0,91.08
18,Dar es Salaam,Urban,Secondary,Unemployed,516690,2,6.61,7.36,1,1,Concrete/Modern,13,1,0,82.8,64.71,100.0,81.63
65,Mwanza,Urban,College,Student,1123577,5,13.04,1.53,1,1,Mud/Thatch,5,4,0,100.0,89.95,73.11,88.42
29,Arusha,Rural,Secondary,Self-employed,1263951,4,3.8,0.03,1,1,Brick/Iron Sheet,7,2,1,100.0,80.79,100.0,93.28
22,Arusha,Urban,Primary,Student,252117,7,4.19,5.52,1,1,Concrete/Modern,6,2,0,86.96,40.93,100.0,74.76
54,Morogoro,Urban,Primary,Government,977751,4,2.16,17.99,1,1,Brick/Iron Sheet,17,2,0,87.62,16.73,94.49,64.87
49,Dar es Salaam,Rural,Primary,Self-employed,1265158,9,8.25,4.67,0,1,Brick/Iron Sheet,17,2,0,95.66,46.89,83.88,75.06
26,Arusha,Rural,College,Unemployed,1022426,2,3.78,0.64,0,1,Mud/Thatch,14,2,0,77.08,90.19,72.64,80.34
58,Morogoro,Rural,Secondary,Unemployed,1915879,6,0.88,1.93,0,0,Concrete/Modern,1,1,0,94.66,66.81,100.0,86.51
52,Mwanza,Urban,University,Self-employed,778066,7,11.55,10.11,0,0,Brick/Iron Sheet,7,3,0,64.93,100.0,81.08,82.05
36,Dodoma,Urban,Secondary,Private Sector,1977779,4,12.3,1.32,0,1,Concrete/Modern,10,4,0,75.88,88.77,100.0,87.63
65,Dar es Salaam,Urban,Primary,Self-employed,1725199,6,4.46,4.68,0,1,Brick/Iron Sheet,17,5,1,97.99,44.16,94.0,77.95
33,Zanzibar,Urban,No Education,Self-employed,1901951,7,0.8,2.58,1,1,Brick/Iron Sheet,12,4,0,100.0,25.73,100.0,74.0
20,Tanga,Rural,Secondary,Self-employed,152949,4,5.56,1.16,1,1,Concrete/Modern,8,5,1,91.53,56.65,100.0,81.86
37,Tanga,Rural,Secondary,Government,563930,8,5.84,8.39,0,0,Concrete/Modern,8,5,0,74.58,56.59,100.0,75.91
41,Mwanza,Rural,University,Unemployed,2292710,9,11.05,6.79,1,1,Mud/Thatch,16,4,0,100.0,100.0,87.87,96.36
50,Mtwara,Rural,Primary,Unemployed,1109260,1,3.79,5.42,1,1,Concrete/Modern,6,1,0,98.96,43.17,100.0,79.75
41,Mtwara,Rural,Secondary,Unemployed,889148,7,11.48,1.35,1,0,Brick/Iron Sheet,8,2,1,94.2,80.0,84.87,86.43
69,Mwanza,Rural,Secondary,Government,1615509,9,20.52,0.51,1,1,Brick/Iron Sheet,0,1,0,85.24,91.97,100.0,92.02
28,Arusha,Rural,Secondary,Private Sector,1653091,5,2.71,4.29,0,0,Brick/Iron Sheet,1,2,0,100.0,58.98,96.54,84.61
66,Dar es Salaam,Rural,Secondary,Self-employed,2914338,2,38.59,4.03,0,0,Brick/Iron Sheet,3,3,1,94.43,67.13,100.0,86.55
25,Tanga,Rural,Secondary,Unemployed,2269068,6,4.88,1.04,1,1,Brick/Iron Sheet,13,5,0,100.0,88.09,100.0,95.83
53,Tanga,Urban,Primary,Self-employed,1408166,7,3.11,0.29,0,1,Brick/Iron Sheet,3,4,1,100.0,50.0,100.0,82.5
55,Arusha,Rural,Secondary,Unemployed,2969530,2,5.47,0.42,1,0,Mud/Thatch,1,3,0,100.0,79.97,100.0,92.99
57,Tanga,Rural,Secondary,Government,2195104,2,0.99,24.65,1,0,Mud/Thatch,7,2,0,100.0,37.29,83.3,73.04
37,Zanzibar,Urban,College,Private Sector,2098053,1,1.34,7.65,0,1,Concrete/Modern,17,1,0,100.0,88.34,100.0,95.92
52,Dar es Salaam,Urban,College,Self-employed,1223270,4,5.35,12.75,0,0,Concrete/Modern,13,4,1,100.0,83.78,100.0,94.32
65,Kilimanjaro,Rural,Primary,Government,2611019,7,14.37,1.08,0,1,Concrete/Modern,9,5,0,97.58,55.7,100.0,83.65
42,Tanga,Rural,Primary,Self-employed,955126,9,23.06,16.17,1,1,Brick/Iron Sheet,16,3,0,86.98,8.27,100.0,63.34
52,Mwanza,Rural,University,Private Sector,1430728,3,10.93,0.77,1,0,Brick/Iron Sheet,7,5,0,93.77,100.0,100.0,97.82
42,Zanzibar,Rural,Secondary,Government,1129242,7,1.11,3.56,0,1,Brick/Iron Sheet,13,2,0,84.81,70.93,100.0,84.51
46,Tanga,Urban,College,Self-employed,2267626,7,11.15,8.85,0,1,Concrete/Modern,7,5,1,100.0,86.14,100.0,95.15
35,Zanzibar,Rural,Primary,Private Sector,450068,7,10.09,2.15,0,1,Brick/Iron Sheet,4,1,0,77.81,41.0,69.87,62.54
63,Morogoro,Urban,Secondary,Self-employed,1410624,2,16.39,2.77,0,0,Concrete/Modern,15,3,0,97.7,79.06,100.0,91.87
35,Kilimanjaro,Rural,College,Self-employed,1929438,6,17.44,0.69,1,0,Concrete/Modern,7,3,0,100.0,95.42,100.0,98.4
19,Mbeya,Rural,University,Unemployed,2923651,2,20.26,0.66,0,1,Concrete/Modern,9,1,0,100.0,100.0,100.0,100.0
52,Mwanza,Urban,Primary,Self-employed,1695368,6,5.35,4.83,1,1,Mud/Thatch,7,5,0,100.0,42.52,83.95,75.07
33,Mwanza,Urban,Secondary,Private Sector,1203546,3,11.97,5.63,1,0,Mud/Thatch,8,1,0,100.0,66.01,63.2,77.06
58,Dar es Salaam,Urban,Secondary,Government,2838384,2,3.12,7.51,0,0,Brick/Iron Sheet,17,4,1,100.0,59.85,100.0,85.95
53,Zanzibar,Rural,No Education,Private Sector,504911,6,73.18,4.07,1,1,Brick/Iron Sheet,2,1,1,61.97,7.8,94.0,52.62
50,Arusha,Urban,Secondary,Government,2608164,2,1.93,5.19,1,1,Mud/Thatch,16,5,0,100.0,80.3,100.0,93.1
21,Mwanza,Rural,Secondary,Government,2080639,5,0.1,0.07,1,0,Brick/Iron Sheet,14,1,1,100.0,81.05,100.0,93.37
50,Zanzibar,Rural,University,Unemployed,1837075,2,1.61,0.88,1,1,Concrete/Modern,16,2,0,100.0,100.0,100.0,100.0
31,Zanzibar,Urban,Primary,Self-employed,1269070,3,14.96,20.97,1,0,Brick/Iron Sheet,7,1,0,98.83,5.21,97.63,65.7
38,Dodoma,Urban,Primary,Unemployed,271277,3,5.92,0.4,1,1,Brick/Iron Sheet,1,1,0,90.96,36.23,99.46,74.36
65,Dodoma,Urban,No Education,Private Sector,591966,6,5.93,5.68,0,1,Brick/Iron Sheet,16,5,0,79.07,0.0,87.63,53.96
37,Mbeya,Rural,Primary,Government,2493455,6,31.02,0.97,1,1,Brick/Iron Sheet,17,4,0,100.0,55.62,100.0,84.47
25,Morogoro,Urban,Primary,Unemployed,1461212,3,25.21,6.31,1,0,Concrete/Modern,4,4,1,100.0,28.11,100.0,74.84
24,Mbeya,Rural,Secondary,Private Sector,1786622,3,3.73,6.12,1,1,Mud/Thatch,8,5,1,100.0,77.98,100.0,92.29
20,Tanga,Rural,Primary,Private Sector,1703344,1,2.35,1.33,1,0,Brick/Iron Sheet,8,5,0,100.0,54.93,100.0,84.22
34,Arusha,Rural,University,Private Sector,2380315,7,18.87,1.57,1,0,Brick/Iron Sheet,1,5,0,100.0,100.0,100.0,100.0
50,Tanga,Rural,University,Self-employed,2569491,8,23.65,5.32,1,1,Mud/Thatch,1,2,1,100.0,100.0,100.0,100.0
65,Mtwara,Rural,Secondary,Self-employed,1327414,2,7.8,2.47,0,1,Concrete/Modern,2,3,0,87.36,65.8,100.0,83.61
29,Tanga,Rural,University,Unemployed,2468561,4,9.93,1.08,1,0,Brick/Iron Sheet,16,1,0,100.0,100.0,100.0,100.0
68,Dar es Salaam,Urban,Secondary,Self-employed,2835605,7,2.97,6.58,1,0,Brick/Iron Sheet,13,5,0,100.0,80.28,100.0,93.1
39,Tanga,Urban,Secondary,Unemployed,2840941,8,16.13,0.84,1,1,Brick/Iron Sheet,13,5,0,100.0,87.52,100.0,95.63
39,Mbeya,Rural,Primary,Private Sector,1481710,1,10.0,9.68,1,1,Brick/Iron Sheet,13,5,0,100.0,34.64,100.0,77.12
63,Mwanza,Rural,Primary,Unemployed,2691822,4,7.0,3.61,1,0,Brick/Iron Sheet,5,4,1,100.0,58.42,100.0,85.45
47,Mwanza,Rural,Secondary,Government,2157797,6,0.62,0.56,1,1,Concrete/Modern,2,5,1,100.0,72.88,100.0,90.51
55,Dodoma,Urban,College,Self-employed,901818,3,24.76,5.92,0,1,Mud/Thatch,0,1,0,69.76,74.8,60.39,68.71
55,Arusha,Urban,Primary,Private Sector,2039726,5,9.56,3.66,1,1,Concrete/Modern,15,5,1,100.0,54.56,100.0,84.1
62,Arusha,Rural,College,Self-employed,923857,9,2.14,1.77,1,1,Brick/Iron Sheet,3,1,0,72.34,92.02,75.89,80.29
68,Dar es Salaam,Urban,Secondary,Private Sector,2318787,3,9.32,2.75,1,0,Mud/Thatch,0,2,0,100.0,78.51,88.79,89.12
25,Mbeya,Rural,No Education,Government,2895766,5,11.32,1.77,1,1,Mud/Thatch,16,3,1,100.0,38.84,100.0,78.6
44,Dodoma,Rural,University,Unemployed,320935,8,7.46,1.53,1,1,Brick/Iron Sheet,17,4,0,84.37,100.0,100.0,94.53
44,Mtwara,Rural,Secondary,Self-employed,2900174,6,12.66,0.89,0,1,Brick/Iron Sheet,7,1,0,100.0,100.0,100.0,100.0
51,Arusha,Rural,Primary,Private Sector,973420,4,8.71,2.25,0,1,Mud/Thatch,1,2,0,98.02,48.51,53.96,67.48
38,Mwanza,Rural,Secondary,Unemployed,1907720,8,29.52,1.44,1,1,Mud/Thatch,17,3,1,100.0,86.12,85.91,90.91
47,Tanga,Urban,No Education,Unemployed,2041345,3,0.55,5.75,0,0,Concrete/Modern,15,3,1,100.0,11.36,100.0,68.97
50,Tanga,Rural,Secondary,Self-employed,592503,3,1.12,5.76,0,0,Mud/Thatch,9,3,1,79.26,56.13,44.37,60.7
45,Dodoma,Rural,Primary,Unemployed,318599,4,1.91,3.48,0,0,Concrete/Modern,7,1,0,58.42,27.93,95.22,58.79
64,Mbeya,Rural,Primary,Private Sector,2435071,9,11.72,7.52,1,1,Brick/Iron Sheet,11,2,1,100.0,49.85,100.0,82.45
50,Mbeya,Urban,University,Self-employed,2665820,5,10.37,9.2,0,1,Brick/Iron Sheet,15,5,0,98.12,100.0,100.0,99.34
22,Morogoro,Rural,Secondary,Government,2600511,8,22.26,4.33,1,1,Brick/Iron Sheet,11,2,1,100.0,86.61,100.0,95.31
65,Kilimanjaro,Rural,Primary,Private Sector,1633183,6,13.2,4.82,1,0,Mud/Thatch,10,2,0,100.0,37.15,68.53,68.56
36,Arusha,Urban,Primary,Private Sector,1740307,3,7.1,1.66,1,1,Concrete/Modern,0,2,0,100.0,52.77,100.0,83.47
21,Mbeya,Urban,College,Private Sector,1440144,8,48.08,11.26,1,1,Mud/Thatch,2,1,0,80.5,77.89,61.76,73.96
52,Mwanza,Rural,Primary,Government,928416,9,3.09,0.12,0,1,Brick/Iron Sheet,11,1,1,83.72,38.82,86.16,68.74
66,Dodoma,Rural,Primary,Self-employed,2238657,8,17.91,2.14,1,0,Brick/Iron Sheet,8,1,1,100.0,51.02,100.0,82.86
34,Mtwara,Rural,No Education,Government,1044461,4,5.57,6.4,1,0,Mud/Thatch,4,2,0,87.61,4.67,69.03,53.01
61,Morogoro,Urban,No Education,Private Sector,1567256,6,10.46,0.42,1,1,Brick/Iron Sheet,0,1,0,91.56,15.21,100.0,67.37
45,Zanzibar,Urban,College,Private Sector,254721,1,12.99,1.01,1,1,Concrete/Modern,9,3,1,90.86,96.58,100.0,95.6
47,Dar es Salaam,Rural,Secondary,Private Sector,2108145,4,10.04,4.45,1,0,Brick/Iron Sheet,16,1,0,100.0,84.91,94.1,92.95
46,Mtwara,Rural,Primary,Self-employed,1110165,8,1.51,4.1,0,1,Concrete/Modern,3,4,1,100.0,27.29,100.0,74.55
63,Zanzibar,Rural,Secondary,Self-employed,236668,1,5.85,6.71,0,0,Concrete/Modern,14,1,1,74.51,46.08,100.0,72.21
23,Tanga,Rural,Primary,Private Sector,378518,3,8.24,8.37,1,1,Brick/Iron Sheet,7,1,0,100.0,27.16,95.78,73.24
52,Dar es Salaam,Rural,University,Unemployed,2840126,1,18.91,0.69,1,1,Brick/Iron Sheet,14,1,0,100.0,100.0,100.0,100.0
58,Arusha,Rural,University,Private Sector,2805421,9,5.86,0.09,0,0,Brick/Iron Sheet,6,1,0,100.0,100.0,100.0,100.0
